fecha,temp_max,temp_min,humedad,precipitacion,temperatura,estacion,departamento,mes,dia_semana,presion,viento,bloqueo
2025-11-02,23.2,13.4,72.6,7.7,18.3,",CAJAMARCA,Provincia",7°17'51.22'',11,6,1010,5,0
2025-11-03,20.9,12.8,84.5,0.5,16.85,",CAJAMARCA,Provincia",7°17'51.22'',11,0,1010,5,0
2025-11-04,22.6,13.0,84.8,3.8,17.8,",CAJAMARCA,Provincia",7°17'51.22'',11,1,1010,5,0
2025-11-05,18.8,12.2,89.1,9.6,15.5,",CAJAMARCA,Provincia",7°17'51.22'',11,2,1010,5,0
2025-11-06,21.0,12.8,87.1,3.3,16.9,",CAJAMARCA,Provincia",7°17'51.22'',11,3,1010,5,0
2025-11-07,24.0,13.8,77.3,0.0,18.9,",CAJAMARCA,Provincia",7°17'51.22'',11,4,1010,5,0
2025-11-08,22.4,13.6,84.6,4.2,18.0,",CAJAMARCA,Provincia",7°17'51.22'',11,5,1010,5,0
2025-11-09,23.8,13.4,77.0,0.0,18.6,",CAJAMARCA,Provincia",7°17'51.22'',11,6,1010,5,0
2025-11-10,20.2,13.6,85.4,2.1,16.9,",CAJAMARCA,Provincia",7°17'51.22'',11,0,1010,5,0
2025-11-11,21.6,13.2,83.7,1.0,17.4,",CAJAMARCA,Provincia",7°17'51.22'',11,1,1010,5,0
2025-11-12,21.8,13.5,85.9,12.3,17.65,",CAJAMARCA,Provincia",7°17'51.22'',11,2,1010,5,0
2025-11-13,22.8,11.6,81.6,1.3,17.2,",CAJAMARCA,Provincia",7°17'51.22'',11,3,1010,5,0
2025-11-14,23.0,12.4,75.7,0.0,17.7,",CAJAMARCA,Provincia",7°17'51.22'',11,4,1010,5,0
2025-11-15,22.0,11.6,78.0,0.0,16.8,",CAJAMARCA,Provincia",7°17'51.22'',11,5,1010,5,0
2025-11-16,21.9,12.8,82.9,3.9,17.35,",CAJAMARCA,Provincia",7°17'51.22'',11,6,1010,5,0
2025-11-17,20.4,11.8,85.8,18.0,16.1,",CAJAMARCA,Provincia",7°17'51.22'',11,0,1010,5,0
